,0,1,2,3
2506,If You Asked Me To, Celine Dion,spotify:track:5Iw2i6Cs2pE7legT0SWtZ7,1992
2507,Achy Breaky Heart, Billy Ray Cyrus,spotify:track:2EoIt9vdgFRNW03u5IvFsQ,1992
2508,Tennessee, Arrested Development,spotify:track:5K8qwhQQSAj9ebIvlNJY8q,1992
2509,The Best Things In Life Are Free, Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,N/A,1992
2510,Live And Learn, Joe Public,spotify:track:4ScNzmyZZId9kGK9iXuqjn,1992
2511,In The Closet, Michael Jackson,spotify:track:5Fy40smNxk0j5OpFMtvfaU,1992
2512,Hold On My Heart, Genesis,spotify:track:0qbhFj4bVrguIZViOJOs36,1992
2513,Wishing On A Star, The Cover Girls,spotify:track:7EE5va6hu88TSdtbXrEl0J,1992
2514,Just Another Day, Jon Secada,spotify:track:5AoBNJQDXXEnIJGjJjZu3y,1992
2515,Come & Talk To Me, Jodeci,spotify:track:5xE7sFTlv2yrG9mmhDSpdq,1992
2516,Aint 2 Proud 2 Beg, TLC,spotify:track:5kVSEpbyuLIVuPM1i2KivC,1992
2517,Just Take My Heart, Mr. Big,spotify:track:7mqqMOgnRE50GOJFPxRF8x,1992
2518,Life Is A Highway, Tom Cochrane,spotify:track:0hKF8N8aflF1uDzEEnPr2j,1992
2519,I Will Remember You, Amy Grant,spotify:track:76crWZqaiFzlTPGzNtT4w1,1992
2520,You Wont See Me Cry, Wilson Phillips,spotify:track:28ncrMY3h1JBFYTiRRk5Gy,1992
2521,Slow Motion, Color Me Badd,spotify:track:03GzYByXsXHcoEAxjsWv9G,1992
2522,Do It To Me, Lionel Richie,spotify:track:1tKxrKBYIIykuLvipSWfgy,1992
2523,Tears In Heaven, Eric Clapton,spotify:track:612VcBshQcy4mpB2utGc3H,1992
2524,One, U2,spotify:track:3G69vJMWsX6ZohTykad2AU,1992
2525,Save The Best For Last, Vanessa Williams,spotify:track:7okbmgA8lRBGl5limZ7LFM,1992
2526,Everything About You, Ugly Kid Joe,spotify:track:1O2ACd0zg4GYgQRhLBGYDV,1992
2527,Bohemian Rhapsody, Queen,spotify:track:7tFiyTwD0nx5a1eklYtX2J,1992
2528,Thought Id Died And Gone To Heaven, Bryan Adams,spotify:track:68Qv4S2uJ0nLvdtWPrlOVt,1992
2529,Too Funky, George Michael,spotify:track:4KjPPpRbthW8dSNdisR2Wi,1992
2530,T.L.C., Linear,N/A,1992
2531,Just For Tonight, Vanessa Williams,spotify:track:50H6z12Lesm74dBLlaHwqs,1992
2532,Lift Me Up, Howard Jones,spotify:track:0Jz5Clply8Ggx8gi9yyKJP,1992
2533,Keep On Walkin, CeCe Peniston,spotify:track:0s2AuUkqr6BN5GjLoTbjaw,1992
2534,They Want EFX, Das EFX,spotify:track:3HCzj965m8Fz2E8wZkir6q,1992
2535,Hazard, Richard Marx,spotify:track:6aILdORvFPD0mO7y5q8O1t,1992
2536,Nu Nu, Lidell Townsell,spotify:track:7hqftTWzXssKbHiFFczBCL,1992
2537,Lets Get Rocked, Def Leppard,spotify:track:0LoH6lFQLNscy3RyljAewK,1992
2538,Friday Im In Love, The Cure,spotify:track:263aNAQCeFSWipk896byo6,1992
